stage,name,status,seconds,class_name
dimension,phonetics-expressive-lengthening,ok,0.002675224095582962,PatternDimension
dimension,phonetics,ok,0.002955269068479538,CompositeDimension
dimension,morphosyntax-gender-words-feminine,ok,0.0003887377679347992,POSTaggingTag
dimension,morphosyntax-gender-words-masculine,ok,0.0003136284649372101,POSTaggingTag
dimension,morphosyntax-gender-words-neutral,ok,0.00030256807804107666,POSTaggingTag
dimension,morphosyntax-gender-words-common,ok,0.0003024972975254059,POSTaggingTag
dimension,morphosyntax-gender,ok,0.002017807215452194,
dimension,morphosyntax-number-singular,ok,0.00035980716347694397,POSTaggingTag
dimension,morphosyntax-number-plural,ok,0.00031904131174087524,POSTaggingTag
dimension,morphosyntax-number,ok,0.0011699795722961426,
dimension,morphosyntax-affixes-suffixes-nominals,ok,0.011353649199008942,WordPerDictionary
dimension,morphosyntax-affixes-suffixes-adjectivizers,ok,0.003108583390712738,WordPerDictionary
dimension,morphosyntax-affixes-suffixes-verbalizers,ok,0.0015342719852924347,WordPerDictionary
dimension,morphosyntax-affixes-suffixes-adverbializers,ok,0.0008509531617164612,WordPerDictionary
dimension,morphosyntax-affixes-suffixes-augmentative,ok,0.0017724968492984772,WordPerDictionary
dimension,morphosyntax-affixes-suffixes-diminutives,ok,0.00239422544836998,WordPerDictionary
dimension,morphosyntax-affixes-suffixes-despective,ok,0.0027683712542057037,WordPerDictionary
dimension,morphosyntax-affixes-suffixes,ok,0.02542763203382492,CompositeDimension
dimension,morphosyntax-affixes-prefixes,ok,0.006612561643123627,WordPerDictionary
dimension,morphosyntax-affixes,ok,0.032578833401203156,
dimension,morphosyntax-morphology-nouns-common,ok,0.00032494962215423584,POSTaggingTag
dimension,morphosyntax-morphology-nouns-proper,ok,0.0003107339143753052,POSTaggingTag
dimension,morphosyntax-morphology-nouns-male,ok,0.10760851204395294,WordPerDictionary
dimension,morphosyntax-morphology-nouns-female,ok,0.11208129674196243,WordPerDictionary
dimension,morphosyntax-morphology-nouns-dates-ymd,ok,0.0011726990342140198,PatternDimension
dimension,morphosyntax-morphology-nouns-dates-dmt,ok,0.0011334531009197235,PatternDimension
dimension,morphosyntax-morphology-nouns-dates-mdy,ok,0.0010711513459682465,PatternDimension
dimension,morphosyntax-morphology-nouns-dates-textual-short,ok,0.00099177286028862,PatternDimension
dimension,morphosyntax-morphology-nouns-dates-textual-long,ok,0.001344040036201477,PatternDimension
dimension,morphosyntax-morphology-nouns-dates-textual-days,ok,0.0008348524570465088,PatternDimension
dimension,morphosyntax-morphology-nouns-dates,ok,0.0071235597133636475,CompositeDimension
dimension,morphosyntax-morphology-nouns-numerals,ok,0.0003297552466392517,POSTaggingTag
dimension,morphosyntax-morphology-nouns,ok,0.22874385491013527,CompositeDimension
dimension,morphosyntax-morphology-nouns-topics-capitals,ok,0.023303784430027008,WordPerDictionary
dimension,morphosyntax-morphology-nouns-topics-countries,ok,0.026036512106657028,WordPerDictionary
dimension,morphosyntax-morphology-nouns-topics-demonyms,ok,0.062049854546785355,WordPerDictionary
dimension,morphosyntax-morphology-nouns-topics-languages,ok,0.021879926323890686,WordPerDictionary
dimension,morphosyntax-morphology-nouns-topics-honorifics,ok,0.002124898135662079,WordPerDictionary
dimension,morphosyntax-morphology-nouns-topics-colors,ok,0.005969405174255371,WordPerDictionary
dimension,morphosyntax-morphology-nouns-topics,ok,0.14224344491958618,
dimension,morphosyntax-morphology-adjectives-qualifying,ok,0.16456887125968933,WordPerDictionary
dimension,morphosyntax-morphology-adjectives-ordinals,ok,0.0006692744791507721,WordPerDictionary
dimension,morphosyntax-morphology-adjectives-superlative,ok,0.0031527094542980194,WordPerDictionary
dimension,morphosyntax-morphology-adjectives-despective,ok,0.009841028600931168,WordPerDictionary
dimension,morphosyntax-morphology-adjectives,ok,0.17905279248952866,CompositeDimension
dimension,morphosyntax-morphology-adverbs-time,ok,0.00033736974000930786,POSTaggingTag
dimension,morphosyntax-morphology-adverbs-mode,ok,0.0003211610019207001,POSTaggingTag
dimension,morphosyntax-morphology-adverbs-place,ok,0.00030082836747169495,POSTaggingTag
dimension,morphosyntax-morphology-adverbs-interrogative,ok,0.002039950340986252,WordPerDictionary
dimension,morphosyntax-morphology-adverbs-cause,ok,0.00032809004187583923,POSTaggingTag
dimension,morphosyntax-morphology-adverbs-doubt-or-desire,ok,0.0018642842769622803,WordPerDictionary
dimension,morphosyntax-morphology-adverbs-negation,ok,0.002464987337589264,WordPerDictionary
dimension,morphosyntax-morphology-adverbs-affirmation,ok,0.00253494456410408,WordPerDictionary
dimension,morphosyntax-morphology-adverbs-quantity,ok,0.00032412633299827576,POSTaggingTag
dimension,morphosyntax-morphology-adverbs-others,ok,0.0024899952113628387,WordPerDictionary
dimension,morphosyntax-morphology-adverbs,ok,0.014077305793762207,CompositeDimension
dimension,morphosyntax-morphology-determiners-articles,ok,0.0003322884440422058,POSTaggingTag
dimension,morphosyntax-morphology-determiners-demostrative,ok,0.0003177747130393982,POSTaggingTag
dimension,morphosyntax-morphology-determiners-emphatic,ok,0.0003084354102611542,POSTaggingTag
dimension,morphosyntax-morphology-determiners-possessive,ok,0.000298570841550827,POSTaggingTag
dimension,morphosyntax-morphology-determiners-indefinite,ok,0.0002953149378299713,POSTaggingTag
dimension,morphosyntax-morphology-determiners-exclamatory,ok,0.0002936050295829773,POSTaggingTag
dimension,morphosyntax-morphology-determiners-interrogative,ok,0.0002887211740016937,POSTaggingTag
dimension,morphosyntax-morphology-determiners-negative,ok,0.00029682740569114685,POSTaggingTag
dimension,morphosyntax-morphology-determiners-reciprocal,ok,0.0002913177013397217,POSTaggingTag
dimension,morphosyntax-morphology-determiners-relative,ok,0.0002886652946472168,POSTaggingTag
dimension,morphosyntax-morphology-determiners-total,ok,0.0002976953983306885,POSTaggingTag
dimension,morphosyntax-morphology-determiners,ok,0.00412379577755928,CompositeDimension
dimension,morphosyntax-morphology-pronouns-personal-number-singular,ok,0.00031298771500587463,POSTaggingTag
dimension,morphosyntax-morphology-pronouns-personal-number-plural,ok,0.00029923394322395325,POSTaggingTag
dimension,morphosyntax-morphology-pronouns-personal-number,ok,0.0009063109755516052,CompositeDimension
dimension,morphosyntax-morphology-pronouns-personal-person-first,ok,0.0003272220492362976,POSTaggingTag
dimension,morphosyntax-morphology-pronouns-personal-person-second,ok,0.00031046196818351746,POSTaggingTag
dimension,morphosyntax-morphology-pronouns-personal-person-third,ok,0.0002976246178150177,POSTaggingTag
dimension,morphosyntax-morphology-pronouns-personal-person,ok,0.0013015158474445343,CompositeDimension
dimension,morphosyntax-morphology-pronouns-personal-gender-male,ok,0.0013086125254631042,WordPerDictionary
dimension,morphosyntax-morphology-pronouns-personal-gender-female,ok,0.0010671019554138184,WordPerDictionary
dimension,morphosyntax-morphology-pronouns-personal-gender-neutral,ok,0.0020764805376529694,WordPerDictionary
